Wavelength,H_blocker,K,L,M
1.43308,0.0163804,0.0116625,0.00148129,0.00055337
1.43349,0.0165465,0.00839543,0.0015707,0.00123119
1.4339,0.0174661,0.0106807,9.20E-05,0.00118136
1.43431,0.0182725,0.0109162,0.000748873,0.00152111
1.43472,0.0179996,0.0097239,0.00117564,0.000940561
1.43513,0.0193012,0.00952101,0.00137877,0.00220823
1.43554,0.0193002,0.00984383,0.00122261,0.00113154
1.43596,0.0203352,0.00944614,1.69E-05,0.00123978
1.43637,0.0208858,0.0100637,0.00143242,0.000951052
1.43678,0.021311,0.00970149,0.00182009,0.000684023
1.43719,0.022619,0.00945735,0.000516653,0.000573635
1.43761,0.0238732,0.00900125,0.00121141,0.000989675
1.43802,0.0239986,0.00951648,0.000804424,0.00109339
1.43843,0.0239811,0.0101097,0.00128603,0.000541449
1.43885,0.0258005,0.00943303,0.00133753,0.00094986
1.43926,0.0270805,0.0103009,0.00107121,0.00197911
1.43968,0.0278565,0.00978732,0.00145435,0.00158358
1.44009,0.0270656,0.00924396,0.000749826,0.000783443
1.44051,0.0293288,0.00936675,0.000295639,0.00198102
1.44092,0.0308669,0.0110772,6.68E-05,0.00146222
1.44134,0.0336396,0.0101514,0.0014019,0.00319505
1.44175,0.0329738,0.0105898,0.00099659,0.00121379
1.44217,0.0340967,0.0102589,0.000454664,0.000859737
1.44259,0.0367141,0.00911617,0.00174642,0.00134158
1.443,0.0375685,0.00920343,0.000475884,0.00120115
1.44342,0.0379232,0.00718236,0.000363827,0.000468731
1.44383,0.0396816,0.00940371,0.000929833,0.00150752
1.44425,0.0417964,0.00891161,0.00105309,0.00024128
1.44467,0.0439591,0.00954843,0.000728846,0.000833035
1.44509,0.0455169,0.00949359,0.00131607,0.000394821
1.4455,0.0473766,0.00906062,0.00100064,0.000995159
1.44592,0.0482436,0.00962186,0.000472784,0.00147867
1.44634,0.0514236,0.00899911,0.00124168,0.00148797
1.44676,0.0524778,0.00831509,0.00213456,0.00128508
1.44718,0.0540662,0.00730729,0.00120473,8.13E-05
1.4476,0.0560657,0.00965047,0.000741005,0.00091958
1.44802,0.0594074,0.00900721,0.000324011,0.00136661
1.44844,0.0623831,0.00775218,0.00125742,0.000998497
1.44886,0.0643598,0.0107298,0.000892878,0.00138235
1.44928,0.0670429,0.00995302,0.00137043,0.00105882
1.4497,0.0697108,0.00884819,0.00124073,0.000139475
1.45012,0.0715157,0.00944114,0.000391722,0.00031662
1.45054,0.0752543,0.00917578,0.000714541,0.00120902
1.45096,0.0782709,0.00789428,0.000890017,0.00163555
1.45138,0.081105,0.0092268,0.00156593,0.000764131
1.4518,0.0847366,0.00959492,0.000821829,0.00096035
1.45222,0.088565,0.00888801,0.000653744,0.000685692
1.45264,0.0918078,0.00780082,0.00144935,0.000658274
1.45307,0.0938207,0.00962114,0.000323057,8.99E-05
1.45349,0.100122,0.00744176,0.00113106,0.00143242
1.45391,0.102115,0.00784564,0.00135851,0.00139022
1.45433,0.107439,0.00856352,0.000157833,0.00028944
1.45476,0.110958,0.00828314,0.000394106,0.000672579
1.45518,0.116403,0.00784874,0.000614882,0.000546694
1.4556,0.120035,0.00854874,0.000874996,0.00166082
1.45603,0.125822,0.0076592,0.00174475,9.42E-05
1.45645,0.129071,0.00712061,0.00131011,0.000198364
1.45688,0.135038,0.00709152,0.00148439,0.000692606
1.4573,0.140552,0.00830698,0.000426769,0.00117636
1.45773,0.146227,0.00951219,0.000560999,0.00115299
1.45815,0.149753,0.00808358,0.00162768,0.000803471
1.45858,0.155757,0.0086143,0.00102377,0.000573873
1.459,0.161809,0.00804329,0.000711918,0.000680924
1.45943,0.165672,0.0081532,0.000397205,0.00101614
1.45985,0.171959,0.00761247,0.0013032,0.00153518
1.46028,0.177926,0.00866151,0.000952244,0.00116324
1.46071,0.1832,0.00813937,0.000882149,0.00113344
1.46113,0.190592,0.00786185,0.000451088,0.000917912
1.46156,0.19576,0.00704765,0.00158572,0.000818253
